,FORMULA,T (K),Cp (J/molK)
66,Al2Be1O4,500.0,145.25
4344,O4Si1Zr1,1100.0,148.741
2567,C1Na2O3,723.15,143.762
2860,Al2Mg1O4,2500.0,235.095
1717,F2H1K1,500.0,100.249
3798,Mo2S3,800.0,135.162
1900,Al1I3,1000.0,128.44899999999998
2126,K2O4S1,900.0,212.865
4340,O4Si1Zr1,1500.0,150.624
3710,Li2O5Si2,298.0,138.072
1684,Cu1O4S1,500.0,127.194
546,Al1Cl1O1,800.0,76.86
1409,Br2Fe1,1400.0,104.759
454,B2Be3O6,500.0,202.84
968,Al2O3,1800.0,135.143
3275,O3W1,1900.0,112.131
3749,Mg1,800.0,30.507
980,Al2O3,600.0,112.545
1490,Fe0.947O1,700.0,54.07
2564,C1Na2O3,900.0,166.23
972,Al2O3,1400.0,131.08100000000002
2686,Na2O3Si1,1700.0,195.748
2190,I2Zr1,1200.0,101.42
4218,O2Ti1,600.0,70.89
1603,H1Na1O1,572.0,86.023
1451,Cl1Li1O4,1000.0,176.983
1466,Cl2Cu1,800.0,80.885
3140,Nb1,1900.0,32.639
1447,Cl1Li1O4,1400.0,192.771
1875,I1Li1,2100.0,76.191
1150,Cl1Li1,1600.0,76.663
1839,Cr1N1,2200.0,61.003
809,Be1H2O2,600.0,99.387
1173,Fe0.877S1,1000.0,52.007
1087,Cr2O3,1700.0,134.47799999999998
1174,Fe0.877S1,900.0,52.886
2199,I2Zr1,400.0,95.019
1898,Al1I3,1200.0,129.16
4457,Sr1,300.0,26.809
1138,Cr2N1,1000.0,90.5
1583,Fe3O4,900.0,273.05
856,C1Be2,2100.0,91.797
1211,F2Hg1,700.0,83.262
959,Al2O3,2600.0,140.959
4268,O3V2,1900.0,166.112
4570,Zr1,1135.0,32.724000000000004
679,Br4Ti1,300.0,131.815
745,Ba1I2,2200.0,112.968
1671,Cu1O4S1,1800.0,167.56900000000002
1557,H3O4P1,500.0,167.19299999999998
3899,Na2O2,1300.0,113.596
2532,K1O2,700.0,91.922
1634,H1Na1,600.0,50.71
2313,Mn1,800.0,34.915
